[WARNING] [2025-04-22 09:35:09,056] Error loading C:\Users\raman\OneDrive\Documents\GitHub\color_picker_model\shapes_jsons\neural_network_visualization.json: Expecting value: line 1 column 1 (char 0)
[INFO] [2025-04-22 09:35:38,210] Epoch 108/200 - Loss: 0.0037
[INFO] [2025-04-22 09:35:38,263] Epoch 109/200 - Loss: 0.0036
[INFO] [2025-04-22 09:35:38,311] Epoch 110/200 - Loss: 0.0034
[INFO] [2025-04-22 09:35:38,384] Epoch 111/200 - Loss: 0.0034
[INFO] [2025-04-22 09:35:38,475] Epoch 112/200 - Loss: 0.0034
[INFO] [2025-04-22 09:35:38,539] Epoch 113/200 - Loss: 0.0033
[INFO] [2025-04-22 09:35:38,593] Epoch 114/200 - Loss: 0.0032
[INFO] [2025-04-22 09:35:38,650] Epoch 115/200 - Loss: 0.0031
[INFO] [2025-04-22 09:35:38,704] Epoch 116/200 - Loss: 0.0030
[INFO] [2025-04-22 09:35:38,760] Epoch 117/200 - Loss: 0.0030
[INFO] [2025-04-22 09:35:38,802] Epoch 118/200 - Loss: 0.0030
[INFO] [2025-04-22 09:35:38,848] Epoch 119/200 - Loss: 0.0029
[INFO] [2025-04-22 09:35:38,908] Epoch 120/200 - Loss: 0.0029
[INFO] [2025-04-22 09:35:38,951] Epoch 121/200 - Loss: 0.0028
[INFO] [2025-04-22 09:35:38,992] Epoch 122/200 - Loss: 0.0027
[INFO] [2025-04-22 09:35:39,025] Epoch 123/200 - Loss: 0.0027
[INFO] [2025-04-22 09:35:39,077] Epoch 124/200 - Loss: 0.0027
[INFO] [2025-04-22 09:35:39,113] Epoch 125/200 - Loss: 0.0026
[INFO] [2025-04-22 09:35:39,151] Epoch 126/200 - Loss: 0.0026
[INFO] [2025-04-22 09:35:39,199] Epoch 127/200 - Loss: 0.0026
[INFO] [2025-04-22 09:35:39,245] Epoch 128/200 - Loss: 0.0026
[INFO] [2025-04-22 09:35:39,281] Epoch 129/200 - Loss: 0.0025
[INFO] [2025-04-22 09:35:39,322] Epoch 130/200 - Loss: 0.0025
[INFO] [2025-04-22 09:35:39,399] Epoch 131/200 - Loss: 0.0025
[INFO] [2025-04-22 09:35:39,454] Epoch 132/200 - Loss: 0.0025
[INFO] [2025-04-22 09:35:39,504] Epoch 133/200 - Loss: 0.0024
[INFO] [2025-04-22 09:35:39,536] Epoch 134/200 - Loss: 0.0024
[INFO] [2025-04-22 09:35:39,581] Epoch 135/200 - Loss: 0.0024
[INFO] [2025-04-22 09:35:39,615] Epoch 136/200 - Loss: 0.0024
